Price,Open,High,Low,Close,Adj Close,Volume
2000-01-01,8644.870305047223,9753.674763982712,8642.460159907532,9744.8447265625,9744.8447265625,0
2000-02-01,9829.635943078807,10393.543589793993,9407.748172150958,9435.8984375,9435.8984375,0
2000-03-01,9572.196601178408,10071.213857744868,8250.422352819376,9854.9052734375,9854.9052734375,0
2000-04-01,9892.7353865979,10328.933602724806,8458.362012044752,8824.3203125,8824.3203125,0
2000-05-01,8836.789533651956,9146.54787806071,8281.641690125842,8939.478515625,8939.478515625,0
2000-06-01,8936.386396226275,9209.435854720261,8049.981022344192,8265.0498046875,8265.0498046875,0
2000-07-01,8260.911921075818,8643.169915633278,7723.404157536196,8114.88232421875,8114.88232421875,0
2000-08-01,8171.542362112505,8305.63158696944,7440.775715457849,7616.94482421875,7616.94482421875,0
2000-09-01,7659.784355287416,7829.3035898532125,6425.550324362665,6432.330078125,6432.330078125,0
2000-10-01,6165.612443013773,6367.361536829687,5074.417148956554,5544.1552734375,5544.1552734375,0
2000-11-01,5552.274534595237,6164.592060251706,4760.6585085745955,5256.90625,5256.90625,0
2000-12-01,5172.996591936602,5403.115666955155,4555.889523425076,4743.91845703125,4743.91845703125,0
2001-01-01,4717.468504334005,5992.402573020691,4677.978451861748,5936.1728515625,5936.1728515625,0
2001-02-01,5927.2234793295165,6198.192481754054,5653.83456585759,5674.66455078125,5674.66455078125,0
2001-03-01,5581.925280383052,5981.283361129083,5471.595694714276,5797.89404296875,5797.89404296875,0
2001-04-01,5797.823795583343,5797.823795583343,5345.575847225291,5381.6455078125,5381.6455078125,0
2001-05-01,5469.924803053421,5502.504241658246,4902.197458065111,5048.83642578125,5048.83642578125,0
2001-06-01,5090.636742175161,5318.685497966245,4741.518230737073,4883.40771484375,4883.40771484375,0
2001-07-01,4886.467761208482,4906.797257555625,4008.061644802371,4352.9599609375,4352.9599609375,0
2001-08-01,4402.689938506434,4715.178751753486,4303.320273229539,4509.41943359375,4509.41943359375,0
2001-09-01,4519.979064109018,4526.249054598576,3411.6641293045373,3636.923095703125,3636.923095703125,0
2001-10-01,3623.653377191128,4104.191222239492,3436.234311024133,3903.47216796875,3903.47216796875,0
2001-11-01,3939.061888588682,4722.158370114418,3910.8220287584413,4441.099609375,4441.099609375,0
2001-12-01,4534.349776427854,5651.954626215935,4532.1696104266675,5551.21533203125,5551.21533203125,0
2002-01-01,5575.314345658766,6049.092452323841,5375.37531865182,5872.11328125,5872.11328125,0
2002-02-01,5948.073583775256,6048.622940258201,5492.915456418856,5696.08447265625,5696.08447265625,0
2002-03-01,5672.00329079209,6326.400624676749,5645.773432845026,6167.44140625,6167.44140625,0
2002-04-01,6118.422121379505,6484.900420289349,6009.422621515749,6065.7021484375,6065.7021484375,0
2002-05-01,6099.242733796487,6106.742700244437,5421.775549687978,5675.62451171875,5675.62451171875,0
2002-06-01,5628.24389063414,5656.883894392819,5048.286622125059,5153.68603515625,5153.68603515625,0
2002-07-01,5124.476701979008,5460.065020003723,4796.428388736768,4940.357421875,4940.357421875,0
2002-08-01,4923.2678407114745,5030.217553802136,4506.579778095528,4764.91845703125,4764.91845703125,0
2002-09-01,4755.98705155046,4755.98705155046,4082.920441824302,4191.7900390625,4191.7900390625,0
2002-10-01,4146.650908726717,4682.918469373707,3845.7423763376682,4579.119140625,4579.119140625,0
2002-11-01,4596.6691712377715,4862.638184293661,4486.319572199038,4646.6689453125,4646.6689453125,0
2002-12-01,4655.39847919183,4867.207562196685,4413.119809966852,4452.4296875,4452.4296875,0
2003-01-01,4460.548978502562,5141.775775358592,4431.169232991959,5015.13671875,5015.13671875,112159600
2003-02-01,4975.627429455199,4975.627429455199,4385.59005535191,4432.43994140625,4432.43994140625,53503800
2003-03-01,4483.41917033661,4619.958576830658,4240.580451625278,4321.2001953125,4321.2001953125,49150400
2003-04-01,4275.369502710627,4677.397347579421,4044.7104596791605,4148.0498046875,4148.0498046875,59878200
2003-05-01,4130.581061578032,4638.988386515267,4108.650986863099,4555.87890625,4555.87890625,50775600
2003-06-01,4620.518738063328,5089.056617124855,4612.078835565773,4872.12744140625,4872.12744140625,95081000
2003-07-01,4893.55806322375,5504.355120087127,4893.55806322375,5318.31591796875,5318.31591796875,130834800
