Market,Strategy,Date,Price,Shares,Invested,Value,Monthly Invest
TAIEX,Value Averaging,2006-01-31,6532.14990234375,0.1530889546244488,1000.0,1000.0,1000.0
TAIEX,Value Averaging,2006-02-28,6561.599609375,0.30480372455863736,1995.4915751365897,2000.0,995.4915751365896
TAIEX,Value Averaging,2006-03-31,6613.93994140625,0.4535874269463267,2979.5380469888287,2999.9999999999995,984.0464718522392
TAIEX,Value Averaging,2006-04-30,7171.73681640625,0.5577449511043819,3726.528397698877,3999.9999999999995,746.9903507100485
TAIEX,Value Averaging,2006-05-31,6846.91845703125,0.730255520257495,4907.694197666293,5000.0,1181.1657999674153
TAIEX,Value Averaging,2006-06-30,6704.37890625,0.8949374854703753,6011.784491479324,6000.0,1104.0902938130312
TAIEX,Value Averaging,2006-07-31,6454.55029296875,1.0845062292915177,7235.365482447796,7000.0,1223.5809909684722
TAIEX,Value Averaging,2006-08-31,6611.73974609375,1.2099689805132516,8064.892541354807,8000.0,829.5270589070105
TAIEX,Value Averaging,2006-09-30,6883.01806640625,1.3075659417379775,8736.654188690944,9000.000000000002,671.7616473361377
TAIEX,Value Averaging,2006-10-31,7021.2880859375,1.4242400934991368,9555.857020388436,10000.0,819.202831697492
TAIEX,Value Averaging,2006-11-30,7567.68505859375,1.463882335172411,9855.857020388436,11078.200475423584,300.0
TAIEX,Value Averaging,2006-12-31,7823.68408203125,1.5338042633342706,10402.904096733308,12000.0,547.047076344872
TAIEX,Value Averaging,2007-01-31,7699.60498046875,1.6883983052346878,11593.217151700555,12999.999999999998,1190.3130549672478
TAIEX,Value Averaging,2007-02-28,7901.9228515625,1.7717206638168692,12251.62400102718,14000.0,658.4068493266241
TAIEX,Value Averaging,2007-03-31,7884.373046875,1.902497498636915,13282.717352637972,15000.0,1031.0933516107925
TAIEX,Value Averaging,2007-04-30,7875.38330078125,2.031647145150735,14299.820322094713,15999.999999999998,1017.1029694567405
TAIEX,Value Averaging,2007-05-31,8144.91259765625,2.087192440210084,14752.231895564137,17000.0,452.4115734694242
TAIEX,Value Averaging,2007-06-30,8883.1689453125,2.120964172105187,15052.231895564137,18840.883067765233,300.0
TAIEX,Value Averaging,2007-07-31,9287.2080078125,2.1532666681564905,15352.231895564137,19997.835443458698,300.0
TAIEX,Value Averaging,2007-08-31,8982.119140625,2.2266460382987465,16011.334140645902,19999.999999999996,659.1022450817654
TAIEX,Value Averaging,2007-09-30,9411.908203125,2.258520552321354,16311.334140645902,21256.988113319756,300.0
TAIEX,Value Averaging,2007-10-31,9711.3251953125,2.2894123198161553,16611.3341406459,22233.22754388947,300.0
TAIEX,Value Averaging,2007-11-30,8586.3603515625,2.522339883779395,18611.3341406459,21657.71917124816,2000.0
TAIEX,Value Averaging,2007-12-31,8506.240234375,2.757461388097801,20611.3341406459,23455.629004173054,2000.0
TAIEX,Value Averaging,2008-01-31,7521.09521484375,3.323983979176279,24872.204489507123,24999.999999999996,4260.870348861223
TAIEX,Value Averaging,2008-02-29,8412.7197265625,3.323983979176279,24872.204489507123,27963.745592393996,0.0
TAIEX,Value Averaging,2008-03-31,8572.5498046875,3.323983979176279,24872.204489507123,28495.01821147199,0.0
TAIEX,Value Averaging,2008-04-30,8919.87890625,3.323983979176279,24872.204489507123,29649.53458056743,0.0
TAIEX,Value Averaging,2008-05-31,8619.0400390625,3.364643842999754,25222.653483784485,29000.0,350.44899427736163
TAIEX,Value Averaging,2008-06-30,7523.50537109375,3.987502968398714,29908.737459158318,29999.999999999996,4686.083975373833
TAIEX,Value Averaging,2008-07-31,7024.0283203125,4.413421840904651,32900.40368179559,31000.0,2991.666222637272
TAIEX,Value Averaging,2008-08-31,7046.078125,4.541533521529042,33803.0885922001,32000.000000000004,902.6849104045068
TAIEX,Value Averaging,2008-09-30,5719.25439453125,5.415773353347155,38803.0885922001,30974.185550915958,5000.0
TAIEX,Value Averaging,2008-10-31,4870.6376953125,6.442332977113052,43803.0885922001,31378.269844081635,5000.0
TAIEX,Value Averaging,2008-11-30,4460.4697265625,7.563291151142247,48803.0885922001,33735.83121284803,5000.0
TAIEX,Value Averaging,2008-12-31,4591.19921875,7.841088631697703,50078.51216789703,36000.0,1275.4235756969283
TAIEX,Value Averaging,2009-01-31,4247.9501953125,8.710083286952967,53769.95818341415,37000.0,3691.446015517118
TAIEX,Value Averaging,2009-02-28,4557.12890625,8.710083286952967,53769.95818341415,39692.97232281838,0.0
TAIEX,Value Averaging,2009-03-31,5210.81591796875,8.710083286952967,53769.95818341415,45386.64063848809,0.0
TAIEX,Value Averaging,2009-04-30,5992.5419921875,8.710083286952967,53769.95818341415,52195.53985251618,0.0
TAIEX,Value Averaging,2009-05-31,6890.408203125,8.710083286952967,53769.95818341415,60016.029330322686,0.0
TAIEX,Value Averaging,2009-06-30,6432.13037109375,8.710083286952967,53769.95818341415,56024.39124476626,0.0
TAIEX,Value Averaging,2009-07-31,7077.677734375,8.710083286952967,53769.95818341415,61647.162544618826,0.0
TAIEX,Value Averaging,2009-08-31,6825.9189453125,8.710083286952967,53769.95818341415,59454.322523662035,0.0
TAIEX,Value Averaging,2009-09-30,7509.1357421875,8.710083286952967,53769.95818341415,65405.19772748851,0.0
TAIEX,Value Averaging,2009-10-31,7340.04638671875,8.710083286952967,53769.95818341415,63932.4153584185,0.0
TAIEX,Value Averaging,2009-11-30,7582.1748046875,8.710083286952967,53769.95818341415,66041.37404506447,0.0
TAIEX,Value Averaging,2009-12-31,8188.072265625,8.710083286952967,53769.95818341415,71318.79139318343,0.0
TAIEX,Value Averaging,2010-01-31,7640.40478515625,8.749348222311214,54069.95818341415,66848.56202474493,300.0
TAIEX,Value Averaging,2010-02-28,7436.06591796875,8.789692135787703,54369.95818341415,65360.73012036889,300.0
TAIEX,Value Averaging,2010-03-31,7920.02294921875,8.82757081390815,54669.95818341415,69914.56343200618,300.0
TAIEX,Value Averaging,2010-04-30,8004.21240234375,8.865051078663761,54969.95818341415,70957.75179125131,300.0
TAIEX,Value Averaging,2010-05-31,7373.94580078125,8.905734860197416,55269.95818341415,65670.40617522394,300.0
TAIEX,Value Averaging,2010-06-30,7329.33642578125,8.94666626006395,55569.95818341415,65573.1269091948,300.0
TAIEX,Value Averaging,2010-07-31,7760.59423828125,8.985323093650244,55869.95818341415,69731.44662967754,300.0
TAIEX,Value Averaging,2010-08-31,7616.24462890625,9.024712584746867,56169.95818341415,68734.41875100097,300.0
