Market,Strategy,Total Invested,Final Value,Total Return %,CAGR %,Sharpe,Sortino,Max Drawdown %,IRR %,Sharpe Rank (1=best),Total Return Rank (1=best),CAGR Rank (1=best)
TAIEX,Value Averaging,122577.44416480126,523589.83451055794,327.1502298633417,7.465351049422031,1.0671796861554237,3.1927481541906113,28.921105234686877,,3,1,1
TAIEX,Threshold DCA (3factor),223100.0,763675.282624716,242.30178512985927,6.29176727426084,1.083385348193133,2.9596554087739833,27.376534773665163,,2,2,2
TAIEX,Model-Driven DCA,230360.2630028822,788258.1457810047,242.1849478315374,6.289967954692188,1.0903371109021405,3.0075722787920505,27.12817264381239,,1,3,3
SP500,Value Averaging,85606.0455798815,437388.9853908999,410.93235580279145,8.424008197391997,1.057547142083715,3.3355684290804786,24.76952223905883,,3,1,1
SP500,Threshold DCA (3factor),194400.0,763490.4515205432,292.74200181097905,7.0187486550527645,1.132872304360918,3.470417686355815,24.03167063102436,,2,2,2
SP500,Model-Driven DCA,210949.0004087376,817369.3475148428,287.4724914226173,6.947089256652617,1.1455667226708468,3.525734490850841,23.790730283405995,,1,3,3
Nikkei225,Value Averaging,133631.14755596514,541774.7672489452,305.4255143038776,7.187551624521182,1.053044333116897,2.7472345394551416,23.684654054002877,,3,1,1
Nikkei225,Threshold DCA (3factor),295000.0,947305.0825292646,221.12036695907275,5.955626974388473,1.125786629107385,2.906451562541337,26.456633420439644,,2,2,2
Nikkei225,Model-Driven DCA,316278.14397312875,990632.8655668766,213.2157199110924,5.824757878142939,1.1335163092784764,2.9149776436129833,26.793638004709624,,1,3,3
