date,PE,DividendYield,PB
1999-04-01,34.0,1.23,
1999-05-01,33.19,1.23,
1999-06-01,32.24,1.24,
1999-07-01,32.88,1.2,
1999-08-01,30.89,1.25,
1999-09-01,29.99,1.26,
1999-10-01,28.66,1.28,
1999-11-01,29.74,1.2,
1999-12-01,29.66,1.17,5.05
2000-01-01,29.04,1.17,5.05
2000-02-01,27.76,1.21,5.05
2000-03-01,28.31,1.16,5.05
2000-04-01,28.5,1.15,5.05
2000-05-01,27.49,1.18,5.05
2000-06-01,28.16,1.14,5.05
2000-07-01,28.05,1.13,5.05
2000-08-01,27.97,1.11,5.05
2000-09-01,27.34,1.11,5.05
2000-10-01,26.5,1.17,5.05
2000-11-01,26.9,1.18,5.05
2000-12-01,26.62,1.22,4.05
2001-01-01,27.55,1.21,4.05
2001-02-01,27.81,1.23,4.05
2001-03-01,26.1,1.35,4.05
2001-04-01,27.96,1.33,4.05
2001-05-01,32.02,1.24,4.05
2001-06-01,33.67,1.27,4.05
2001-07-01,35.46,1.3,4.05
2001-08-01,37.85,1.33,4.05
2001-09-01,36.9,1.51,4.05
2001-10-01,39.72,1.46,4.05
2001-11-01,43.62,1.39,4.05
2001-12-01,46.37,1.37,3.39
2002-01-01,46.17,1.38,3.39
2002-02-01,44.57,1.43,3.39
2002-03-01,46.71,1.36,3.39
2002-04-01,43.81,1.42,3.39
2002-05-01,41.41,1.48,3.39
2002-06-01,37.92,1.58,3.39
2002-07-01,32.46,1.77,3.39
2002-08-01,31.53,1.74,3.39
2002-09-01,28.89,1.82,3.39
2002-10-01,29.24,1.86,3.39
2002-11-01,32.03,1.76,3.39
2002-12-01,32.59,1.79,2.73
2003-01-01,31.43,1.8,2.73
2003-02-01,28.46,1.93,2.73
2003-03-01,27.92,1.92,2.73
2003-04-01,28.05,1.82,2.73
2003-05-01,28.24,1.73,2.73
2003-06-01,28.6,1.64,2.73
2003-07-01,27.65,1.64,2.73
2003-08-01,26.57,1.66,2.73
2003-09-01,26.42,1.63,2.73
2003-10-01,24.75,1.62,2.73
2003-11-01,23.15,1.63,2.73
2003-12-01,22.17,1.61,3.03
2004-01-01,22.73,1.55,3.03
2004-02-01,22.46,1.56,3.03
2004-03-01,21.61,1.6,3.03
2004-04-01,21.23,1.61,3.03
2004-05-01,20.14,1.67,3.03
2004-06-01,20.17,1.64,3.03
2004-07-01,19.51,1.7,3.03
2004-08-01,19.03,1.74,3.03
2004-09-01,19.35,1.71,3.03
2004-10-01,19.25,1.72,3.03
2004-11-01,20.05,1.66,3.03
2004-12-01,20.48,1.62,2.92
2005-01-01,19.99,1.67,2.92
2005-02-01,20.11,1.66,2.92
2005-03-01,19.84,1.69,2.92
2005-04-01,19.02,1.76,2.92
2005-05-01,18.93,1.76,2.92
2005-06-01,19.0,1.74,2.92
2005-07-01,19.0,1.73,2.92
2005-08-01,18.72,1.74,2.92
2005-09-01,18.44,1.75,2.92
2005-10-01,17.64,1.82,2.92
2005-11-01,18.01,1.78,2.92
2005-12-01,18.07,1.76,2.76
2006-01-01,18.07,1.75,2.76
2006-02-01,17.8,1.77,2.76
2006-03-01,17.8,1.76,2.76
2006-04-01,17.77,1.77,2.76
